datetime;Total;GHI
2021-01-01 00:00:00+04:00;39;0.0
2021-01-01 00:10:00+04:00;38;0.0
2021-01-01 00:20:00+04:00;35;0.0
2021-01-01 00:30:00+04:00;37;0.0
2021-01-01 00:40:00+04:00;45;0.0
2021-01-01 00:50:00+04:00;34;0.0
2021-01-01 01:00:00+04:00;37;0.0
2021-01-01 01:10:00+04:00;40;0.0
2021-01-01 01:20:00+04:00;39;0.0
2021-01-01 01:30:00+04:00;35;0.0
2021-01-01 01:40:00+04:00;34;0.0
2021-01-01 01:50:00+04:00;45;0.0
2021-01-01 02:00:00+04:00;35;0.0
2021-01-01 02:10:00+04:00;36;0.0
2021-01-01 02:20:00+04:00;40;0.0
2021-01-01 02:30:00+04:00;37;0.0
2021-01-01 02:40:00+04:00;33;0.0
2021-01-01 02:50:00+04:00;34;0.0
2021-01-01 03:00:00+04:00;41;0.0
2021-01-01 03:10:00+04:00;33;0.0
2021-01-01 03:20:00+04:00;36;0.0
2021-01-01 03:30:00+04:00;38;0.0
2021-01-01 03:40:00+04:00;37;0.0
2021-01-01 03:50:00+04:00;35;0.0
2021-01-01 04:00:00+04:00;36;0.0
2021-01-01 04:10:00+04:00;43;0.0
2021-01-01 04:20:00+04:00;36;0.0
2021-01-01 04:30:00+04:00;38;0.0
2021-01-01 04:40:00+04:00;36;0.0
2021-01-01 04:50:00+04:00;42;0.0
2021-01-01 05:00:00+04:00;37;0.0
2021-01-01 05:10:00+04:00;35;0.0
2021-01-01 05:20:00+04:00;42;0.0
2021-01-01 05:30:00+04:00;35;0.9876999999999999
2021-01-01 05:40:00+04:00;37;5.255599999999999
2021-01-01 05:50:00+04:00;36;14.368
2021-01-01 06:00:00+04:00;44;45.238
2021-01-01 06:10:00+04:00;35;74.435
2021-01-01 06:20:00+04:00;36;111.4
2021-01-01 06:30:00+04:00;37;147.24
2021-01-01 06:40:00+04:00;41;187.51
2021-01-01 06:50:00+04:00;37;229.8
2021-01-01 07:00:00+04:00;36;271.3
2021-01-01 07:10:00+04:00;43;309.86
2021-01-01 07:20:00+04:00;34;348.11
2021-01-01 07:30:00+04:00;34;387.55
2021-01-01 07:40:00+04:00;37;425.15
2021-01-01 07:50:00+04:00;40;465.38
2021-01-01 08:00:00+04:00;36;506.28000000000003
2021-01-01 08:10:00+04:00;35;547.17
2021-01-01 08:20:00+04:00;40;587.49
2021-01-01 08:30:00+04:00;35;627.4100000000001
2021-01-01 08:40:00+04:00;34;663.0899999999999
2021-01-01 08:50:00+04:00;41;697.53
2021-01-01 09:00:00+04:00;37;730.25
2021-01-01 09:10:00+04:00;35;763.4
2021-01-01 09:20:00+04:00;41;794.76
2021-01-01 09:30:00+04:00;40;824.8
2021-01-01 09:40:00+04:00;40;852.8
2021-01-01 09:50:00+04:00;37;879.1
2021-01-01 10:00:00+04:00;36;904.4
2021-01-01 10:10:00+04:00;40;927.8
2021-01-01 10:20:00+04:00;36;948.3
2021-01-01 10:30:00+04:00;37;968.8
2021-01-01 10:40:00+04:00;40;990.2
2021-01-01 10:50:00+04:00;36;1009.5
2021-01-01 11:00:00+04:00;37;1026.9
2021-01-01 11:10:00+04:00;43;1042.2
2021-01-01 11:20:00+04:00;37;1056.0
2021-01-01 11:30:00+04:00;40;1067.0
2021-01-01 11:40:00+04:00;38;1078.3
2021-01-01 11:50:00+04:00;39;1086.4
2021-01-01 12:00:00+04:00;38;1088.5
2021-01-01 12:10:00+04:00;39;1090.8
2021-01-01 12:20:00+04:00;39;1089.0
2021-01-01 12:30:00+04:00;36;1085.2
2021-01-01 12:40:00+04:00;39;1085.2
2021-01-01 12:50:00+04:00;36;1080.2
2021-01-01 13:00:00+04:00;40;1069.8
2021-01-01 13:10:00+04:00;39;1060.0
2021-01-01 13:20:00+04:00;35;1047.2
2021-01-01 13:30:00+04:00;40;1033.8
2021-01-01 13:40:00+04:00;42;1021.7
2021-01-01 13:50:00+04:00;37;1001.1
2021-01-01 14:00:00+04:00;36;988.0
2021-01-01 14:10:00+04:00;38;963.3
2021-01-01 14:20:00+04:00;41;945.9
2021-01-01 14:30:00+04:00;37;918.8
2021-01-01 14:40:00+04:00;39;891.7
2021-01-01 14:50:00+04:00;39;861.7
